record_id,title,url,source_name,source_reliability_label,source_reliability_score,query_text,fetched_at,published_at,company_name,district,legal_sections,legal_section_meanings,violation_type,cin_candidates,subject_label,snippet,has_company_name,has_district,has_legal_section,record_quality_score,usable_for_analytics,source_provider,company_status,incorporation_date,last_agm_date,last_balance_sheet_date,registered_address,authorized_capital,paid_up_capital,nic_code,industry_description,roc_office,listed_status,profile_last_updated
86f01bfa5b18a5a8,J H V DISTILLERIES & SUGAR MILLS LIMITED,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.821908+00:00,,J H V DISTILLERIES & SUGAR MILLS LIMITED,Kolkata,,,liquidation,U15424WB2002PLC094242,J H V DISTILLERIES & SUGAR MILLS LIMITED,CIN: U15424WB2002PLC094242. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"Kamalalaya Centre, 156-A, Lenin Sarani Room No. 212, IInd Floor,Kolkata,West Bengal,700013-India",,₹ 20700000,,,,,
dfab98f6b8fbb947,J THOMAS INVESTMENT SERVICES PVT LTD,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.823592+00:00,,J THOMAS INVESTMENT SERVICES PVT LTD,Kolkata,,,liquidation,U65999WB1992PTC055772,J THOMAS INVESTMENT SERVICES PVT LTD,CIN: U65999WB1992PTC055772. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"11 R N MUKHERJEE ROAD,KOLKATA,Kolkata,West Bengal,700001-India",,₹ 5001000,,,,,
a87c89b42422d221,JANPRAGTI COMMODITIES PVT. LTD.,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.821137+00:00,,JANPRAGTI COMMODITIES PVT. LTD.,Kolkata,,,liquidation,U51109WB1995PTC068406,JANPRAGTI COMMODITIES PVT. LTD.,CIN: U51109WB1995PTC068406. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"94/1 PURNA CHANDRA MITRA LANE CHARU MARKET,KOLKATA,Kolkata,West Bengal,700033-India",,₹ 45015300,,,,,
372280c1728f7c50,JAS INFRASTRUCTURE AND POWER LIMITED,https://www.instafinancials.com/company/jas-infrastructure-and-power-limited-U40109WB2002PLC162558,InstaFinancials Company Profile,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:41:49.550379+00:00,2024-07-18,JAS INFRASTRUCTURE AND POWER LIMITED,Kolkata,,,liquidation,U40109WB2002PLC162558,JAS INFRASTRUCTURE AND POWER LIMITED,"CIN: U40109WB2002PLC162558. Status: Under Liquidation. Incorporation: 2002-07-16. Last AGM: 2019-09-23. Last Balance Sheet: 2019-03-31. Authorized Capital: ₹ 1,00,00,00,00,000.00. Paid Up Capital: ₹ 7,39,20,77,000.00. ROC: RoC-Kolkata. Listed Status: Listed. NIC: 40109. Industry: Electricity; Gas; Steam And HOT Water Supply. Address: FE-83; SECTOR-III SALT LAKE CITY; GROUND FLOOR KOLKATA Kolkata WB 700106 IN.",True,True,False,132.4,True,instafinancials,Under Liquidation,2002-07-16,2019-09-23,2019-03-31,FE-83; SECTOR-III SALT LAKE CITY; GROUND FLOOR KOLKATA Kolkata WB 700106 IN,"₹ 1,00,00,00,00,000.00","₹ 7,39,20,77,000.00",40109,Electricity; Gas; Steam And HOT Water Supply,RoC-Kolkata,Listed,2024-07-18
539a7a617b657880,JAYA COMPUTERS & SOFTWARES LIMITED,https://www.instafinancials.com/company/jaya-computers-softwares-limited-U72900WB1983PLC036144,InstaFinancials Company Profile,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:55:36.304484+00:00,2020-01-06,JAYA COMPUTERS & SOFTWARES LIMITED,Kolkata,,,liquidation,U72900WB1983PLC036144,JAYA COMPUTERS & SOFTWARES LIMITED,"CIN: U72900WB1983PLC036144. Status: Under Liquidation. Incorporation: 1983-04-07. Authorized Capital: ₹ 3,00,00,000.00. Paid Up Capital: ₹ 28,48,000.00. ROC: RoC-Kolkata. Listed Status: Listed. NIC: 72900. Industry: Computer And Related Activities. Address: 20 OLD COURT HOUSE STREET2ND FLOOR P S HARE STREET KOLKATA WB 700001 IN.",True,True,False,122.4,True,instafinancials,Under Liquidation,1983-04-07,,,20 OLD COURT HOUSE STREET2ND FLOOR P S HARE STREET KOLKATA WB 700001 IN,"₹ 3,00,00,000.00","₹ 28,48,000.00",72900,Computer And Related Activities,RoC-Kolkata,Listed,2020-01-06
b47e53e7215d167f,JENSON & NICHOLSON (INDIA) LTD,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Listed,2026-04-05T21:33:08.820297+00:00,,JENSON & NICHOLSON (INDIA) LTD,Kolkata,,,liquidation,L51597WB1922PLC004603,JENSON & NICHOLSON (INDIA) LTD,CIN: L51597WB1922PLC004603. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"7B MIDDLETON STREET P.S. SHAKESPEARE SARANI,,KOLKATA,West Bengal,700071-India",,₹ 244851000,,,,,
6820ef5dc3e1df9e,JESSOP AND CO LTD,https://www.instafinancials.com/company/jessop-and-co-ltd-L51909WB1932PLC007491,InstaFinancials Company Profile,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Listed,2026-04-05T21:42:09.549373+00:00,2024-10-29,JESSOP AND CO LTD,Kolkata,,,liquidation,L51909WB1932PLC007491,JESSOP AND CO LTD,"CIN: L51909WB1932PLC007491. Status: Under Liquidation. Incorporation: 1932-10-25. Last AGM: 2015-12-28. Last Balance Sheet: 2015-03-31. Authorized Capital: ₹ 1,00,00,00,000.00. Paid Up Capital: ₹ 61,51,02,475.00. ROC: RoC-Kolkata. Listed Status: Listed. NIC: 51909. Industry: Wholesale Trade And Commission Trade; Except Of Motor Vehicles And Motorcycles. Address: 21&22,JESSORE ROAD,CAL-28W.",True,True,False,132.4,True,instafinancials,Under Liquidation,1932-10-25,2015-12-28,2015-03-31,"21&22,JESSORE ROAD,CAL-28W","₹ 1,00,00,00,000.00","₹ 61,51,02,475.00",51909,Wholesale Trade And Commission Trade; Except Of Motor Vehicles And Motorcycles,RoC-Kolkata,Listed,2024-10-29
2573962d58203423,JMD MEDICARE LTD,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.822725+00:00,,JMD MEDICARE LTD,Kolkata,,,liquidation,U85110WB1991PLC051669,JMD MEDICARE LTD,CIN: U85110WB1991PLC051669. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"P-336 C I T ROAD SCHEME-VIM,KOLKATA,West Bengal,700054-India",,₹ 10287200,,,,,
4cb605dd6bb4a1f8,K D L PHARMA LIMITED,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.820662+00:00,,K D L PHARMA LIMITED,Kolkata,,,liquidation,U24231WB1989PLC047198,K D L PHARMA LIMITED,CIN: U24231WB1989PLC047198. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"Green Acres, 2 Nazar Ali Lane, Flat-4A,,Kolkata,Kolkata,West Bengal,700019-India",,₹ 99000000,,,,,
aacd8db2f47e2aa3,KALMESHWAR INVESTMENTS PVT LTD,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,InstaFinancials West Bengal A-Z Directory,registry_aggregator,0.65,priority seed from uploaded WB master data; status=Under Liquidation; listing=Unlisted,2026-04-05T21:33:08.823659+00:00,,KALMESHWAR INVESTMENTS PVT LTD,Kolkata,,,liquidation,U65993WB1990PTC048598,KALMESHWAR INVESTMENTS PVT LTD,CIN: U65993WB1990PTC048598. Discovered from the InstaFinancials West Bengal A-Z company directory.,True,True,False,104.4,True,instafinancials,Under Liquidation,,,,"CHATTERJEE INTERNATIONALCT33 A J L NEHRU ROAD,KOLKATA,West Bengal,000000-India",,₹ 5000000,,,,,
