record_id,title,url,source_name,source_reliability_label,source_reliability_score,query_text,fetched_at,published_at,company_name,district,legal_sections,legal_section_meanings,violation_type,cin_candidates,subject_label,snippet,has_company_name,has_district,has_legal_section,record_quality_score,usable_for_analytics
92dd9520517eba63,Winding up Notification of M/s. Paper Trade & Industries Private Limited in C. P. No. 959 of 2016,https://calcuttahighcourt.gov.in/Notice-Files/company-liquidation-notice/2032,Calcutta High Court Company Liquidation,official,1.0,calcutta high court company liquidation notices,2026-04-05T17:31:42.482046+00:00,28-Mar-2019,Paper Trade & Industries Private Limited,,,,liquidation,,Paper Trade & Industries Private Limited,,True,False,False,72.0,True
ec8c73f2b44d004c,Winding up Notification of M/s Begwani Trade and Industries Private Limited in C. P. No. 958 of 2016,https://calcuttahighcourt.gov.in/Notice-Files/company-liquidation-notice/2031,Calcutta High Court Company Liquidation,official,1.0,calcutta high court company liquidation notices,2026-04-05T17:31:42.482241+00:00,28-Mar-2019,Begwani Trade and Industries Private Limited,,,,liquidation,,Begwani Trade and Industries Private Limited,,True,False,False,72.0,True
a3021124d44c27de,Winding up notification of IAG Company Limited in CP No.202 of 2013,https://calcuttahighcourt.gov.in/Notice-Files/company-liquidation-notice/2016,Calcutta High Court Company Liquidation,official,1.0,calcutta high court company liquidation notices,2026-04-05T17:31:42.482401+00:00,18-Mar-2019,IAG Company Limited,,,,liquidation,,IAG Company Limited,,True,False,False,72.0,True
6fa40fc431820b64,In the matter of Agarwal Commodities Broker Private Limited [CP (IB) No. 146/KB/2025],https://www.ibbi.gov.in/uploads/order/2026-02-14-115917-1kchm-d5fbaa4110e54892ff4e97d02f51c0fd.pdf,IBBI Orders - NCLT - Page 6,regulated,0.85,ibbi nclt orders kolkata bench west bengal,2026-04-05T17:32:15.563370+00:00,"12 Feb, 2026",Agarwal Commodities Broker Private Limited,,,,liquidation,,Agarwal Commodities Broker Private Limited,Dissolution Voluntary Liquidation|,True,False,False,73.6,True
542358884c21079a,In the matter of P.C.DEY AND SON DISTRIBUTORS PRIVATE LIMITED [I.A.(IBC)(Liquidation). No. 17/KB/2025 in C.P. (],https://www.ibbi.gov.in/uploads/order/2026-02-10-162248-fp0l1-dda51e544c2ae8414fc110accaabfcf0.pdf,IBBI Orders - NCLT - Page 10,regulated,0.85,ibbi nclt orders kolkata bench west bengal,2026-04-05T17:32:37.526454+00:00,"22 Jan, 2026",,,,,liquidation,,In the matter of P.C.DEY AND SON DISTRIBUTORS PRIVATE LIMITED [I.A.(IBC)(Liquidation). No. 17/KB/2025 in C.P. (],Appointment - Appointment of Liquidator,False,False,False,55.6,True
77dfbccb73e4af47,Silverton Spinners Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/6de73174eab5583b51b9fbe7d5587dbf.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T17:33:20.582376+00:00,19-08-2025,Silverton Spinners Limited,,,,insolvency,,Silverton Spinners Limited,Option 1- Entire Cor... Option 1- Entire Corporate Debtor as a going concern under Regulation 32 (e) read with Regulation 32A Option 2- Plant & Machinery Option 3- Land & Building,True,False,False,79.6,True
ec28037bf3fac74d,Silverton Spinners Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/155b7b345137d9ab3ef5f2663c9a14d8.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T17:33:20.584656+00:00,17-07-2025,Silverton Spinners Limited,,,,insolvency,,Silverton Spinners Limited,Option 1- Entire Cor... Option 1- Entire Corporate Debtor as a going concern under Regulation 32 (e) read with Regulation 32A Option 2- Plant & Machinery Option 3- Land & Building,True,False,False,79.6,True
d142d7d5087bb34d,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-07-08-125426-6ic4q-3a3f56f916203d56ccfd8ceb4eed77e0.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T17:33:20.585090+00:00,08-07-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of Assets of Co... Sale of Assets of Corporate Debtor An asset on a standalone basis (comprising of Land, Building, Plant & Machinery under Regulation 32(a) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, whatever there is basis and Without recourse basis. (Auction of Block B, C & D would get activated only IF the auction under Block A fail.) (If the auction under Block A is successful, then the Auction under Block B, C & D shall be cancelled)",False,False,False,61.6,True
9e68e1640b861be3,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/3a3f56f916203d56ccfd8ceb4eed77e0.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T17:33:20.585515+00:00,08-07-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of the assets o... Sale of the assets of the Corporate debtor as a “Going Concern (As advised by the SCC)” on “As is where is basis”, “As is what is basis”, “Whatever there is basis” and “Without any recourse basis” as per Regulation 32(e) of the IBBI Liquidation Regulation, 2016.",False,False,False,61.6,True
8e89cd021ab165a6,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/6705def951b8a545401744a7ac4c7fa7.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T17:33:20.587210+00:00,13-06-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Block-A: Sale of the... Block-A: Sale of the assets of the Corporate debtor as a “Going Concern (As advised by the SCC)” on “As is where is basis”, “As is what is basis”, “Whatever there is basis” and “Without any recourse basis” as per Regulation 32(e) of the IBBI Liquidation Regulation, 2016.",False,False,False,61.6,True
