cluster_id,node_count,edge_count,member_entities,member_sections,member_districts,top_risk_band
cluster-006,2,1,Incab Industries,,,Low
cluster-007,2,1,Madras High Court Orders Winding Up Of SpiceJet Ltd,,,Low
cluster-008,2,1,Steel Ltd,,,Low
cluster-009,2,1,Jewellery Limited,,,Low
cluster-014,2,1,Confitech Sales Private Limited,,,Low
cluster-015,2,1,Eskay Properties Development Private Limited,,,Low
cluster-016,2,1,Multiple Hotels Private Limited,,,Low
cluster-017,2,1,West Bengal Housing Infrastructure Development Corporation Ltd,,,Low
cluster-019,2,1,Calcutta High Court eCourts Original Side case-status and order gateway,,,Low
cluster-020,2,1,Calcutta High Court eCourts Appellate Side case-status and order gateway,,,Low
