cluster_id,node_count,edge_count,member_entities,member_sections,member_districts,top_risk_band
cluster-001,589,1083,"A B N LAMINATORS P. LTD. | A P DEALERS LTD | A W FIGGIS & CO PVT LTD | A. K. POWER INDUSTRIES PRIVATE LIMITED | AARYA INDUSTRIAL PRODUCTS PRIVATE LIMITED | AASHIYAAN HOUSING & DEVELOPMENT FINANCE PRIVATE LIMITED | AAWRUN FURNISHINGS MAN-TRA PRIVATE LIMITED | ABHIJEET HAZARIBAGH TOLL ROAD LIMITED | ABHIJEET INFRASTRUCTURE LIMITED | ABHIJEET INTEGRATED STEEL LIMITED | ABHIJEET TOLL ROAD (KARNATAKA) LIMITED | ADITI HEALTH OILS PRIVATE LIMITED | ADVANCE MULTISYSTEM BROADBAND COMMUNICATIONS LIMITED | ADVANCE POWERINFRA TECH LIMITED | ADYAMA RICE MILL PVT LTD | AELIS ENTERPRISE LEARNING AND IMPLEMENTATION SOLUTIONS PRIVATE LIMITED | AGARWAL COMMODITIES BROKER PRIVATE LIMITED | AGARWAL STEEL COMPLEX LTD. | AIR CARRYING CORPORATION (INDIA) PRIVATE LIMITED | AJUDHIA DISTRIBUTORS PRIVATE LIMITED | AK Power Industries Private Limited | AKARSH HOLDINGS LIMITED | ALIPURDUAR ENTERPRISES LTD | ALISHAN VENEER & PLYWOOD PVT.LTD. | ALLIANCE FINLEASE LTD | ALLIANCE STOCK BROKING LTD. | ALLIANCE VENTURE CAPITAL ADVISORS LIMITED | AMAR PROPERTIES PVT LTD | AMBAY COKE INDUSTRIES PRIVATE LIMITED | AMERICAN REFRIGERATOR CO LTD | AMRIT HATCHERIES PRIVATE LIMITED | ANANYA WOOD PVT LTD | ANDAL EAST COAL COMPANY PRIVATE LIMITED | ANDAMAN SEA FOODS PVT LTD | ANDERSON TECHNOLOGY PRIVATE LIMITED | ANGARAJ VANIJYA PVT.LTD. | ANKIT METAL & POWER LIMITED | ANUPRIYA MANAGEMENT PVT LTD | ANURAG MULTIPURPOSE COLDSTORAGE PRIVATE LIMITED | ANUSANDHAN COMMOTRADE PVT.LTD. | APARNA LIGHTING (INDIA) PRIVATE LIMITED | APARNA POLYFLEX PRIVATE LIMITED | ARAMBAGH HATCHERIES LTD | ARCO INVESTMENTS LTD | ARCUTTIPORE TEA CO LTD | ARIN MINERALS PRIVATE LIMITED | AS INFRACON PRIVATE LIMITED | ASD TRADING PRIVATE LIMITED | ATTIVO ECONOMIC ZONE (MUMBAI) PRIVATE LIMITED | AVANEESH INFRATECH PRIVATE LIMITED | AVANI PROJECTS AND INFRASTRUCTURE LIMITED | B & M CHEMICALS PVT LTD | B B M ENTERPRISE PVT. LTD. | B K ROY PVT LTD | B T COMPOSITES LIMITED | B.D.MOTORS LIMITED | B.D.Motors Limited | BALA TECHNO INDUSTRIES LIMITED | BALAJEE INGOT INDIA PRIVATE LIMITED | BALLY EXPORTS LIMITED | BANGUR BROTHERS LTD | BANSAL OIL EXTRACTION PVT LTD | BANSAL REFINERIES PRIVATE LIMITED | BAR TREND GLOBAL LIMITED | BARCLE ENTERPRISES LIMITED | BARD ROY INFOTECH PVT LTD | BARNAPARICHAY BOOK-MALL PRIVATE LIMITED | BARRACKPORE ENTERPRISES PRIVATE LIMITED | BASANT MARKETING LIMITED | BASUKINATH FOOD PROCESSORS LIMITED | BATWINGS LEARNING CENTERS PRIVATE LIMITED | BBT ELEVATED ROAD PRIVATE LIMITED | BELLS CONTROLS LTD | BENGAL CHEMISTS & DISTRIBUTORS ALLIANCE LIMITED | BENGAL EMTA COAL MINES LTD | BENGAL EXIM SCRIPS PVT LTD | BENGAL IMMUNITY LTD | BENGAL INDIA GLOBAL INFRASTRUCTURE LIMITED | BENGAL MEDIA PRIVATE LIMITED | BENGAL PAPER MILL 1989 COMPANY LTD | BENGAL SREI INFRASTRUCTURE DEVELOPMENT LIMITED | BERHAMPUR FINANCE & LEASING PRIVATE LIMITED | BHARAT BRAKES & VALVES LTD | BHARAT MARGANINE LTD | BHARAT NRE COKE LIMITED | BHARAT OPHTHLAMIC GLASS LTD | BHARATI TEL UDYOG PVT LTD | BHOLANATH INGOTS PRIVATE LIMITED | BHOOMI MINERALS LTD. | BIL INFRATECH LIMITED | BINDAL LEFIN PVT LTD | BIO-GLOW HEALTH PRODUCTS (INDIA) PRIVATE LIMITED | BIRBHUM CHEMICALS AND FERTILISERS LTD. | BIYANI SECURITIES PVT.LTD. | BKS LEATHER EXPORTS PRIVATE LIMITED | BLACKBERRY PROJECTS PRIVATE LIMITED | BLUE DIAMOND POLYPLAST INDUSTRIES LTD | BOSTIN ENGINEERS PVT LTD | BRAHMAPOOTRA TEA CO LTD | BRANDQUIVER LIMITED | BRICK & MORTAR REALTY PRIVATE LIMITED | BRIPRANIL INDUSTREES LTD | BUSH TEA CO PVT LTD | Bansal Oil Extraction Pvt. Ltd | CAMPUS IMPEX PRIVATE LIMITED | CAPITAL ELECTRONICS AND APPLIANCES LIMITED | CAPRICORN ISPAT UDYOG PRIVATE LIMITED | CASTLE BREWERIES LTD | CEEBUILD COMPANY PRIVATE LIMITED | CFL CAPITAL FINANCIAL SERVICES LIMITED | CHAITANYA ALLOYS PRIVATE LIMITED | CHANDNI COMMERCIALS PRIVATE LIMITED | CHANDRA PROTECO LIMITED | CHANDRIMA FASHIONS FABRICS PRIVATE LIMITED | CITY DAIRY PRODUCTS PVT LTD | CITYLIFE RETAIL PRIVATE LIMITED | CLASSIC CREDIT LTD | COMPUTECH INTERNATIONAL LTD | CONCAST INFRATECH LIMITED | CONCAST PRODUCTS LTD | CONCAST STEEL & POWER LIMITED | CONCEPT BIOSCIENCES INDIA PRIVATE LIMITED | CONSOLIDATED FIBRES AND CHEMICALS LTD | COOKME (SPICE) PVT LTD | CORPORATE ISPAT ALLOYS LIMITED | CORPORATE POWER LIMITED | CYCLE CORPORATION OF INDIA LTD | Capital Electronics And Appliances Limited | DADHEECH INFRASTRUCTURES PRIVATE LIMITED | DAMANI INFRACON PRIVATE LIMITED | DANLA METALIKS PRIVATE LIMITED | DARJEELING ORGANICTEA ESTATES PRIVATE LIMITED. | DECCAN TRADCOM PRIVATE LIMITED | DEEPEEJAY LTD | DEEPRAJ VINIMAY PVT LTD | DEV R NIL DESIGN PRIVATE LIMITED | DEVIKRIPA TRADING PRIVATE LIMITED | DHANANJAY COMMERCIAL CO LTD | DIAMOND SHIPPING COMPANY LTD | DIELES FORGE LIMITED | DIMOND POLYMERS PRIVATE LIMITED | DIVYASWARNA (OPC) PRIVATE LIMITED | DOVIAZ RETAIL LIMITED | DREDGE REPAIR COMPANY OF INDIA LTD. | DRUID PHARMA LTD. | DULICHAND AUTO SALES PRIVATE LIMITED | DUNLOP INDIA LTD | DUTTA AGRO MILLS PVT LTD | DYNAMETIC OVERSEAS PRIVATE LIMITED | Dev R Nil Design Private Limited | E C BOSE AND CO PVT LTD | E VILLAGE KENDRA LIMITED | EASTERN COMNETS LIMITED | EASTERN GASES LTD | EASTERN INDIA INSTITUTE OF MEDICAL SCIENCE & RESEARCH HOSPITALS LTD | ECOTECH ENTERPRISE PRIVATE LIMITED | EDEN COSMETICS LTD | ELECTROSTEEL AVIATION LIMITED | EMC LIMITED | EMPYREAN IMPEX PRIVATE LIMITED | ENERGY PROPERTIES PRIVATE LIMITED | ENFIELD GEMS & JEWELLERY LIMITED | ENVIRON ENERGY CORPORATION INDIA PRIVATE LIMITED | EPITOME PETROCHEMICAL PRIVATE LIMITED | EVEREST HOLDINGS PVT. LTD. | Essar Power (Jharkhand) Limited | FAIRDEAL SUPPLIES LIMITED | FAIRVIEW TRADECOM PRIVATE LIMITED | FCGL INDUSTRIES LIMITED | FENICE CHEMICALS INDIA LIMITED | FERRO RODS PRIVATE LIMITED | FORT PROJECTS PVT LTD | FORT WILLIAM INDUSTRIES LTD. | FORTUNE FURNITECH PRIVATE LIMITED | FUTURE SPECIALITY MEDICARE PRIVATE LIMITED | Fabricators Private Limited | Fake Calcutta Municipal Corporation | G R MULTI FLEX PACKAGING PRIVATE LIMITED | G R POLYFILM PVT LTD | GAJRAJ COMMERCIAL PRIVATE LIMITED | GALLIUM DEALER PVT. LTD. | GANAPATI METECHEM PVT. LTD. | GANPATI HIGHTECH COMMUNICATION PRIVATE LIMITED | GASTEL INDIA LTD | GEE PEE INFOTECH PVT LTD | GEM REFINERIES LTD | GEMS CARE & CURE HEALTH CENTER PRIVATE LIMITED | GEMUS ENGINEERING LTD | GENA PHARMACEUTICALS LIMITED | GI INTERNATIONAL PRIVATE LIMITED | GLAZE INFRASTRUCTURE PRIVATE LIMITED | GLOBAL AUTOMOBILES LIMITED | GLORY FURNISHERS PRIVATE LIMITED | GMD ENTERPRISES PRIVATE LIMITED | GONTERMANN - PEIPERS (INDIA) LIMITED | GOURI IRON & STEEL PRIVATE LIMITED | GRAMCO MUSIC PUBLISHING LTD | GRAPHITE HOLDINGS LIMITED | GRAPHITE INVESTMENTS LTD | GREENAGE FOOD PRODUCTS LIMITED | GUJARAT NRE COKE LTD | Glory Furnishers Private Limited | Gontermann Peipers (India) Limited | HAPPY TELEKOMS LIMITED | HAPPY VALLEY REALTORS PRIVATE LIMITED | HASTINGS COMMERCIAL PVT LTD | HIFAZAT CHEMICALS PVT LTD | HIMANGINI INFRACON INDIA LIMITED | HINDUSTAN CONTROLS & EQUIPMENT PRIVATE LIMITED | HINDUSTHAN NATIONAL GLASS & INDUSTRIES LIMITED | HINDUSTHAN SMALL TOOLS PVT LTD | HIRA CONCAST LTD | HIRANMAYE ENERGY LIMITED | HISCO STEEL PVT LTD | HOPE,S METAL INDUSTRIES INDIA LTD | HVR PROJECTS PRIVATE LIMITED | Hansraj Agrofresh Private Limited | Hindusthan Small Tools Private Limited | IMPERIAL TUBES PVT.LTD. | IMPEX FERRO TECH LTD | IMPEX STEEL LIMITED | INCAB INDUSTRIES LTD. | INDIA STEAMSHIP CO.LTD. | INDIAN MINING WORKS PRIVATE LIMITED | INDUSTRIAL INVESTMENT BANK OF INDIA LIMITED. | INTRANS ENGINEERING LIMITED | In the matter of ATTIVO ECONOMIC ZONE (KOLKATA) PRIVATE LIMITED [CP/ IB/ (187) KB/2024] | Insolvency Proceedings Initiated Against Birla Tyres Ltd | Ispat Industries | J H V DISTILLERIES & SUGAR MILLS LIMITED | J THOMAS INVESTMENT SERVICES PVT LTD | JAGDAMBA INDUSTRIES LIMITED | JAI AMBEY METALS PRIVATE LIMITED | JAI ANNANYA INVESTMENTS PRIVATE LIMITED | JAI GOKUL TOWERS PRIVATE LIMITED | JANPRAGTI COMMODITIES PVT. LTD. | JAS INFRASTRUCTURE AND POWER LIMITED | JASSI PROPERTIES & CONSTRUCTION PRIVATE LIMITED | JAYA COMPUTERS & SOFTWARES LIMITED | JENSON & NICHOLSON (INDIA) LTD | JESSOP AND CO LTD | JINPRABHU INFRASTRUCTURE DEVELOPMENTS LIMITED | JMD MEDICARE LTD | JOGVICK MANUFACTURING AND TRADING PRIVATE LIMITED | JOHAL & CO (WINE SALES) PVT LTD | JUPITAR SPUN PIPES & CASTING PRIVATE LIMITED | JVL Agro Industries Limited | K D L PHARMA LIMITED | K.S. Oils Limited | KAIZEN POWER LIMITED | KALMESHWAR INVESTMENTS PVT LTD | KALPANA PLASTICS PVT. LTD. | KAMINI TEA CO PVT LTD | KAMLAPUR SUGAR & INDUSTRIES LIMITED | KAMPILYA BUILDERS PVT.LTD. | KARAN SMELTERS PRIVATE LIMITED | KAUSHIK GLOBAL LOGISTICS LIMITED | KAYAN UDYOG LTD | KAYGEE SHOETECH PRIVATE LIMITED | KEJRIWAL SUGAR AGENCIES PRIVATE LIMITED | KESHAV SPONGE & ENERGY PRIVATE LIMITED | KHARIKATIA TEA & INDUSTRIES LIMITED | KIEV FINANCE LTD. | KOHINOOR POWER PRIVATE LIMITED | KOHINOOR STEEL PRIVATE LIMITED | KOLKATA CONDUCTOR AND CABLES PRIVATE LIMITED | KOLKATA ELECTRONICS PRIVATE LIMITED | KOTHARI METAL CORPORATION LTD | KULIK PAPER INDUSTRIES PVT LTD | KUMARDHUBI ENGINEERING WORKS LTD | KUMLAI TEA & INDUSTRIES LTD | Khaitan Electricals Ltd | Kolkata Municipal Corporation | Kolkata | National Company Law Tribunal | Kolkata's SREI Group | LINKPOINT ADVISORY PRIVATE LIMITED | LTS PLASTICS (INDIA) PRIVATE LIMITED | M.R. NIRMAN PRIVATE LIMITED | M.S GRAPHICS PVT. LTD. | MAA SHERAWALI ISPAT PVT LTD | MACHINE WORKS (INTERNATIONAL) LIMITED | MADHUSALA DRINKS PVT.LTD. | MAFCON ENGINEERING CO INDIA PVT LTD | MAHENDRA COMMERCIAL LTD | MAKPOWER TRANSFORMERS PRIVATE LIMITED | MALTING ENGINEERING (INDIA) PVT LTD | MANGALA COMMERCIAL PVT. LTD. | MANGLAM FISCAL SERVICES P. LTD. | MANIKARAN VINCOM PRIVATE LIMITED. | MANSI OILS & GRAINS PRIVATE LIMITED | MANTHAN BROADBAND SERVICES PRIVATE LIMITED | MARYN INDUSTRIES PRIVATE LIMITED | MAXGROW OVERSEAS LIMITED | MEDIA ELEVEN PRIVATE LIMITED | MEDICARE SERVICES (INDIA) PRIVATE LTD. | MERINOPLY CHEMICALS LTD | MEWAR GROWTH LTD | MILLENIUM GILTS & SECURITIES PRIVATE LIMITED | MINING & ALLIED MACHINERY CORPN LTD | MODERN INFRA PROJECTS INDIA LIMITED | MOHAN MOTOR DEALERS PVT LTD | MOHAN MOTOR DISTRIBUTORS PRIVATE LIMITED | MOHAN MOTOR UDYOG PRIVATE LIMITED | MOTIJUG AGENCIES LTD | MOUNTVIEW CONSULTANCY PRIVATE LIMITED | MOXIE ENTERTAINMENTS PRIVATE LIMITED | MULTIPLE HOTELS PRIVATE LIMITED | Modern India Concast Limited | NADIA CONSTRUCTIONS PRIVATE LIMITED | NAMAN ISPAT PRIVATE LIMITED | NANDINI IMPEX PVT. LTD. | NCLT Initiates Insolvency Proceedings Against Diksha Greens Limited | NEW HIND SILK HOUSE PRIVATE LIMITED | NICCO CORPORATION LTD | NIPPON ALLOY LIMITED | NKR REALTY PRIVATE LIMITED | NOBILE ICE CREAM COMPANY PRIVATE LIMITED | NUTEC BICKLEY WESMAN KILNS PRIVATE LIMITED | NVD SOLAR LIMITED | Naresh Retail Mart LLP | Newsprint Private Limited | ORBIT FINANCIAL CONSULTANTS PRIVATE LIMITED | OTTO PROJECTS PRIVATE LIMITED | P K S LTD | P. M. GARMENT EXPORTS PRIVATE LIMITED | P. R. COMMERCE PRIVATE LIMITED | P.S.EARTHMOVERS PRIVATE LIMITED | PABITRA ENCLAVE PRIVATE LIMITED | PAPER TRADE & INDUSTRIES PVT LTD | PAPYRUS PAPERS LIMITED | PATHBREAKING PROJECTS LIMITED | PATTON LIMITED | PAYABHI PAYMENTS PRIVATE LIMITED | PAYMARK PAYMENT TECHNOLOGIES & SERVICES PRIVATE LIMITED | PENGUINE HOSPITALITY PRIVATE LIMITED | PINCON SPIRIT LIMITED | PM COLD STORAGE PRIVATE LIMITED | POSITIVE ELECTRONICS LTD | POWER MAX(INDIA)PVT LTD | PRAKASH VANIJYA PRIVATE LIMITED | PRAPTI FASHIONS PRIVATE LIMITED | PRECISION ENGINEERS & FABRICATORS PRIVATE LIMITED | PRISM INFRACON LIMITED | PRITHVI ENERGY LIMITED | PRITHVI MULTIPURPOSE COLD STORAGE PRIVATE LIMITED | PRIYAM MOTORS SALES PRIVATE LIMITED | PROGRESS CULTIVATION LIMITED | PROGRESSIVE METERS PRIVATE LIMITED | PURPLE ADVERTISING SERVICES PRIVATE LIMITED | Prapti Fashions Pvt. Limited | QUESS EAST BENGAL FC PRIVATE LIMITED | QUMEX MOULDS PVT LTD | R S I PRIVATE LIMITED | R. PIYARELALL IRON & STEEL PRIVATE LIMITED | R.P.INFO SYSTEMS LIMITED | RADICE ISPAT (INDIA) LIMITED | RAFTECH MULTITRADERS PRIVATE LIMITED | RAGHAV INDUSTRIES LIMITED | RAHUL COMMERCE PVT LTD | RAJGARIA TIMBER PRIVATE LIMITED | RAJPROTIM AGENCIES PRIVATE LIMITED | RANG SUPER SHOPPING PRIVATE LIMITED | RBL LTD | RCBS REALTY PRIVATE LIMITED | RDG INTERIOR DECORATION EXTERIOR ARCHITECTURE PRIVATE LIMITED | RDH TECHNOLOGIES PVT LTD | REACHNET CABLE SERVICES PRIVATE LIMITED | REACON ENGINEERS (INDIA) PVT LTD | REGULUSREIGN TECHNOLOGIES PRIVATE LIMITED | REHABILITATION INDUSTRIES CORPN. LTD | REI AGRO LIMITED | RESPONSE HOTELS & RESORTS PRIVATE LIMITED | REXOR INDIA LTD | RIGA SUGAR CO LTD | RIVERBANK DEVELOPERS PRIVATE LIMITED | RKDS EXPORTS PRIVATE LIMITED | RLA HOLDINGS PVT LTD | RNM INFRA PRIVATE LIMITED | RNM Infra Private Limited | ROC West Bengal disqualified directors under section 164(2)(a) | ROCK COPCO LTD | ROOFERS INFRASTRUCTURE INDIA PRIVATE LIMITED | ROSE CAPITAL LTD | ROYAL INFRASOFT PRIVATE LIMITED | RUCHIKA TRADELINK PRIVATE LIMITED | RUSI & ZARIN GIMI FAMILY HOLDINGS PRIVATE LIMITED | Radhagobind Commercial Limited | Raghav Sarees Private Limited | Rajprtim Agencies Private Limited | S K P STEEL INDUSTRIES PRIVATE LIMITED | S. R. WORTH LIMITED | SAFE CARGO MOVERS PRIVATE LIMITED | SAI ELECTROCASTING LIMITED | SALASAR INDUSTRIAL SERVICES LTD | SAMPARK LAND AND BUILDERS PRIVATE LIMITED | SAMPURNA SUPPLIERS PRIVATE LIMITED | SAMSING PLANTATION AND INDUSTRIES LTD | SANMATI DISTRIBUTORS PRIVATE LIMITED | SANWARIA CREATION PRIVATE LIMITED | SARADHA LANDMARK CEMENT PRIVATE LIMITED | SARADHA REALTY INDIA LIMITED | SARAF IRON FOUNDRY & ROLLING MILLS PVT LTD | SARAWGI BUILDERS & PROMOTERS PRIVATE LIMITED | SAREGAMA REGENCY OPTIMEDIA PRIVATE LIMITED | SARGA UDAIPUR HOTELS & RESORTS PRIVATE LIMITED | SARITA STEEL & POWER LIMITED | SASA MUSA SUGAR WORKS PRIVATE LIMITED | SAT INDIA LTD. | SATKRITI INVESTMENT LTD | SAUMYA MINING LIMITED | SAV STEELS PVT LTD | SAV WIRES PRIVATE LIMITED | SAVERA DIGITAL INDIA PRIVATE LIMITED | SCG EXPORTS PVT LTD | SCOPE VINCOM INDUSTRIES PRIVATE LIMITED | SERAIKELLA GLASS WORKS LIMITED. | SHIMA EDIBLES PRIVATE LIMITED | SHIVSHANKAR NIWAS PRIVATE LIMITED | SHOMUK CONSULTANCY SERVICES PRIVATE LIMITED | SHRADHA AGENCIES PRIVATE LIMITED | SHREE COKE MANUFACTURING COMPANY PRIVATE LIMITED | SHREE GANESH JEWELLERY HOUSE (I) LIMITED | SHREE HANUMAN REALCON PRIVATE LIMITED | SHREE HANUMAN SUGAR & INDUSTRIES LTD | SHREE MAHALAXMI CORPORATION PRIVATE LIMITED | SHREE PADMAWATI METALIKS PRIVATE LIMITED | SHREE RAM SAW MILL PRIVATE LIMITED | SHREE SHYAM BEARINGS PRIVATE LIMITED | SHREE SYNTHETICS LIMITED | SHRI BADRINARAIN ALLOYS & STEEL LTD. | SHRIRAMRATHI STEELS PRIVATE LIMITED | SHV ENERGY NORTH EAST PRIVATE LIMITED | SHYAMA IRON & ALLOYS PRIVATE LIMITED | SIDDHARTH AUTOMOBILES LIMITED | SIDLAW COMMERCIALS PVT LTD | SIGMA-C INFRASTRUCTURE PRIVATE LIMITED | SIGMABIT TECHNOLOGY (INDIA) PRIVATE LIMITED | SILVERTON SPINNERS LIMITED | SINGH ALLOYS & STEEL LTD. | SIS MOHAN REAL ESTATE PRIVATE LIMITED | SKIPPER TEXTILES PVT LTD | SKY INFRA LOGISTICS PRIVATE LIMITED | SKYRISE OVERSEAS PRIVATE LIMITED | SMITH STANISTREET PHARMACEUTICALS LTD | SOHOM SHIPPING PRIVATE LIMITED | SOLAPUR TOLLWAYS PRIVATE LIMITED | SPACE MATRIX PRIVATE LIMITED | SPASHT MARKETING (P) LTD | SPECTRA FASHIONS PRIVATE LIMITED | SPICY ENTERTAINMENT AND MEDIA LIMITED | SPS ISPAT & POWER LIMITED | SPS STEELS LIMITED | SREI ASSET LEASING LIMITED | SREI CAPITAL MARKETS LIMITED | SREI EQUIPMENT FINANCE LIMITED | SREI FACTORS PRIVATE LIMITED | SREI INFRASTRUCTURE FINANCE LIMITED | SREI INSURANCE BROKING PRIVATE LIMITED | SREI MUTUAL FUND ASSET MANAGEMENT PRIVATE LIMITED | SREI MUTUAL FUND TRUST PRIVATE LIMITED | SREI PROJECT & EQUIPMENT PRIVATE LIMITED | SRI BALAJI LOGS PRODUCTS PRIVATE LIMITED | SRI SAI CAR SALES PRIVATE LIMITED | SRI SRI ONKERASHWARA RICE MILL PRIVATE LIMITED | SST MEDIA PRIVATE LIMITED | STANDARD REFINERY & DISTILLERY LTD | STB EXPORT PVT LTD | STEEL PLANTECH ENGINEERING INDIA PRIVATE LIMITED | STEWARTS & LLOYDS OF INDIA LTD | STIEFELUND SCHUH (INDIA) LTD | SUASHISH CAPITAL PVT LTD | SUBH CHINTAK TRADERS PVT.LTD. | SUBH LAXMI FINANCIAL SERVICES PVT.LTD. | SUBHLABH STEELS PRIVATE LIMITED | SUBHLAXMI COMPUSIS PVT. LTD. | SUNDARBAN INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED | SUNPLANT CONSTRUCTIONS LIMITED | SUPER FORGINGS & STEELS LTD | SUPER GEAR PRIVATE LIMITED | SUPREME & COMPANY PRIVATE LIMITED | SURAJ SECURITIES FINANCE LTD | SURINA IMPEX PRIVATE LIMITED | SURSADHNA COMMERCIAL PVT LTD | SURYODAYA REALTORS PRIVATE LIMITED | SV DIDIT SOLUTION PRIVATE LIMITED | SWATI MINING PRIVATE LIMITED | Salasar EXIM Limited | Sarnamoy Plastic Sack Manufacturing Private Limited | Self-Help Group | Silverton Spinners Limited | Swati Mining Private Limited | TANTIA SANJAULIPARKINGS PRIVATE LIMITED | TARUN TEXTILES PVT LTD | TASTY AGRO PRODUCTS PVT.LTD. | TATTVA VALUERS PRIVATE LIMITED | TEA TRADING CORPN OF INDIA LTD | TECHNICO ENTERPRISES PVT LTD | TECHNO FAB MANUFACTURING LTD | THE BURRAKUR COAL CO LTD | THE NEW REDBANK TEA CO PVT LTD | TIRUPATHI PROPERTIES AND INVESTMENT PRIVATE LIMITED | TIRUPATI JUTE INDUSTRIES LIMITED | TODI HIRE PURCHASE & LEASE FINANCE LIMITED | TODI TRADES & INVESTMENT PVT LTD | TOPLINE COMMODITIES PVT LTD | TOSHNIWAL ENTERPRISES CONTROLS LIMITED | TRIMURTI COAL SUPPLY PVT.LTD. | TRIPURARI PROPERTIES PRIVATE LIMITED | TRITON SYNTHETIC FIBRES PVT.LTD. | TSAI ENTERPRISES PVT LTD | TYRE CORPORATION OF INDIA LTD | Techno Fab Manufacturing Ltd | ULTRAMINE PIPETECH PRIVATE LIMITED | UNITED CHLORO-PARAFFINS PRIVATE LIMITED | UNIWORTH TEXTILES LIMITED | UPAHAR AGRO INDUSTRIES LIMITED | URAL INDIA LIMITED | USASHI REALSTATES PRIVATE LIMITED | UTTORON ENGINEERING PRIVATE LIMITED | VARRSANA ISPAT LTD | VASUDEV ISPAT PRIVATE LIMITED | VENKATESH LOGISTICS PRIVATE LIMITED | VIKASH SMELTERS & ALLOYS LIMITED | VINAYAK IRON AND COKE PRIVATE LIMITED. | VINILOK SOLUTIONS PRIVATE LIMITED | VISA PHARMACEUTICALS PRIVATE LIMITED | VISA POWER LIMITED | VISA RESOURCES INDIA LIMITED | VISHWARUPA IRON & STEEL TRADERS PRIVATE LIMITED | VISWATMA MERCHANDISE PRIVATE LIMITED | VIVEK BROTHERS PVT LTD | VRAJRAJ ISPAT LIMITED | Vincom Industries | WB PRECISION ENGINEERING SOLUTIONS PRIVATE LIMITED | WEARIT GLOBAL LIMITED | WELLMAN INCANDE SCENT INDIA LTD | WINLAM INDUSTRIES LTD | WOOD CRAFT PRODUCTS LTD | WOOLCOMBERS OF INDIA LTD | YIBEAL TRADEX PRIVATE LIMITED | YUMMZ FOODS PRIVATE LIMITED | ZENFER MARKETING PVT LTD | ZURICH RISK MANAGEMENT PRIVATE LIMITED",Section 164,Alipurduar | Bankura | Birbhum | Darjeeling | Hooghly | Howrah | Kolkata | Murshidabad | Nadia | North 24 Parganas | Purba Medinipur | South 24 Parganas | Uttar Dinajpur,High
cluster-011,5,4,Calcutta High Court eCourts Jalpaiguri Bench | Calcutta High Court eCourts Jalpaiguri bench case-status and order gateway,,Jalpaiguri,Medium
cluster-018,5,4,ROC West Bengal notice of striking off and dissolution under section 248 | ROC West Bengal public notice of striking off under section 248(1),Section 248,,Medium
cluster-002,2,1,Ruia Group,,,Medium
cluster-003,2,1,Vibgyor Group,,,Medium
cluster-012,9,8,Begwani Trade and Industries Private Limited | Corporate Ispat Alloys Limited | GoldMine Food Products Limited | IAG Company Limited | Kohlbros Communications Pvt. Ltd | Paper Trade & Industries Private Limited | Sancia Global Infra Project Limited | Small Tools Mfg. Co. of India Ltd,,,Low
cluster-010,7,6,Agarpara Company Ltd | Chandra Royal Inn P. Ltd | Co. Pvt. Ltd | Contai Bus Syandicate Pvt. Ltd | KD Digital Signature Solution Pvt. Ltd | Purbanchal Petroleum Pvt. Ltd,,,Low
cluster-013,3,2,Agarwal Commodities Broker Private Limited | Kaizen Power Ltd,,,Low
cluster-004,2,1,Central Inland Water Transport Corporation Limited,,,Low
cluster-005,2,1,Nicco Corp,,,Low
